origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
EWR,2013,1,1,1,39.02,26.06,59.37,270,10.357019999999999,NA,0,1012,10,2013-01-01T06:00:00Z
EWR,2013,1,1,2,39.02,26.96,61.63,250,8.05546,NA,0,1012.3,10,2013-01-01T07:00:00Z
EWR,2013,1,1,3,39.02,28.04,64.43,240,11.5078,NA,0,1012.5,10,2013-01-01T08:00:00Z
EWR,2013,1,1,4,39.92,28.04,62.21,250,12.658579999999999,NA,0,1012.2,10,2013-01-01T09:00:00Z
EWR,2013,1,1,5,39.02,28.04,64.43,260,12.658579999999999,NA,0,1011.9,10,2013-01-01T10:00:00Z
EWR,2013,1,1,6,37.94,28.04,67.21,240,11.5078,NA,0,1012.4,10,2013-01-01T11:00:00Z
EWR,2013,1,1,7,39.02,28.04,64.43,240,14.960139999999999,NA,0,1012.2,10,2013-01-01T12:00:00Z
EWR,2013,1,1,8,39.92,28.04,62.21,250,10.357019999999999,NA,0,1012.2,10,2013-01-01T13:00:00Z
EWR,2013,1,1,9,39.92,28.04,62.21,260,14.960139999999999,NA,0,1012.7,10,2013-01-01T14:00:00Z
EWR,2013,1,2,0,26.96,10.94,50.34,310,14.960139999999999,25.317159999999998,0,1016.3,10,2013-01-02T05:00:00Z
EWR,2013,1,2,1,26.06,10.94,52.25,330,12.658579999999999,24.166379999999997,0,1016.3,10,2013-01-02T06:00:00Z
EWR,2013,1,2,2,24.98,10.94,54.65,330,13.809359999999998,NA,0,1017,10,2013-01-02T07:00:00Z
EWR,2013,1,2,3,24.08,8.96,51.93,320,14.960139999999999,NA,0,1016.6,10,2013-01-02T08:00:00Z
EWR,2013,1,2,4,24.08,8.96,51.93,330,12.658579999999999,NA,0,1016.9,10,2013-01-02T09:00:00Z
EWR,2013,1,2,5,24.08,8.96,51.93,330,6.904679999999999,NA,0,1016.9,10,2013-01-02T10:00:00Z
EWR,2013,1,2,6,24.08,8.96,51.93,310,3.4523399999999995,NA,0,1017.2,10,2013-01-02T11:00:00Z
EWR,2013,1,2,7,24.98,10.04,52.5,300,6.904679999999999,NA,0,1017.6,10,2013-01-02T12:00:00Z
EWR,2013,1,2,8,24.98,10.04,52.5,280,9.20624,NA,0,1018.5,10,2013-01-02T13:00:00Z
EWR,2013,1,2,9,26.96,10.04,48.36,290,11.5078,NA,0,1019,10,2013-01-02T14:00:00Z
EWR,2013,1,3,0,28.04,15.08,57.79,290,8.05546,NA,0,1021.8,10,2013-01-03T05:00:00Z
EWR,2013,1,3,1,28.04,15.08,57.79,280,10.357019999999999,NA,0,1022.1,10,2013-01-03T06:00:00Z
EWR,2013,1,3,2,26.96,15.08,60.41,270,8.05546,NA,0,1022.3,10,2013-01-03T07:00:00Z
EWR,2013,1,3,3,26.96,15.08,60.41,280,6.904679999999999,NA,0,1022.1,10,2013-01-03T08:00:00Z
EWR,2013,1,3,4,26.06,15.08,62.7,290,5.7539,NA,0,1021.9,10,2013-01-03T09:00:00Z
EWR,2013,1,3,5,26.06,15.08,62.7,290,5.7539,NA,0,1022,10,2013-01-03T10:00:00Z
EWR,2013,1,3,6,26.06,15.98,65.21,310,6.904679999999999,NA,0,1022.4,10,2013-01-03T11:00:00Z
EWR,2013,1,3,7,26.06,15.98,65.21,320,5.7539,NA,0,1022.2,10,2013-01-03T12:00:00Z
EWR,2013,1,3,8,26.96,17.06,65.84,310,5.7539,NA,0,1022.4,10,2013-01-03T13:00:00Z
EWR,2013,1,3,9,28.04,17.06,62.97,290,5.7539,NA,0,1022.8,10,2013-01-03T14:00:00Z
EWR,2013,1,4,0,30.02,17.96,60.38,240,13.809359999999998,NA,0,1018,10,2013-01-04T05:00:00Z
EWR,2013,1,4,1,28.94,17.96,63.1,230,8.05546,NA,0,1018.1,10,2013-01-04T06:00:00Z
EWR,2013,1,4,2,30.02,19.04,63.24,240,10.357019999999999,NA,0,1018.3,10,2013-01-04T07:00:00Z
EWR,2013,1,4,3,28.94,19.04,66.09,250,11.5078,NA,0,1018.2,10,2013-01-04T08:00:00Z
EWR,2013,1,4,4,28.94,19.94,68.68,230,6.904679999999999,NA,0,1018.4,10,2013-01-04T09:00:00Z
EWR,2013,1,4,5,30.92,21.02,66.34,240,11.5078,NA,0,1018.4,10,2013-01-04T10:00:00Z
EWR,2013,1,4,6,33.08,21.02,60.81,230,16.11092,NA,0,1018.7,10,2013-01-04T11:00:00Z
EWR,2013,1,4,7,33.98,21.92,60.93,240,10.357019999999999,NA,0,1018.7,10,2013-01-04T12:00:00Z
EWR,2013,1,4,8,35.06,21.92,58.37,250,13.809359999999998,NA,0,1019,10,2013-01-04T13:00:00Z
EWR,2013,1,4,9,35.96,21.02,54.21,250,14.960139999999999,19.56326,0,1019,10,2013-01-04T14:00:00Z
EWR,2013,1,5,0,33.08,17.96,53.36,260,10.357019999999999,NA,0,1017.1,10,2013-01-05T05:00:00Z
EWR,2013,1,5,1,33.08,17.06,51.33,270,10.357019999999999,NA,0,1017.7,10,2013-01-05T06:00:00Z
EWR,2013,1,5,2,32,17.06,53.6,280,12.658579999999999,NA,0,1018.8,10,2013-01-05T07:00:00Z
EWR,2013,1,5,3,32,17.06,53.6,290,18.41248,23.0156,0,1019.3,10,2013-01-05T08:00:00Z
EWR,2013,1,5,4,32,17.06,53.6,260,11.5078,NA,0,1020.2,10,2013-01-05T09:00:00Z
EWR,2013,1,5,5,32,17.06,53.6,240,12.658579999999999,NA,0,1021,10,2013-01-05T10:00:00Z
EWR,2013,1,5,6,33.08,17.96,53.36,250,10.357019999999999,NA,0,1022.4,10,2013-01-05T11:00:00Z
EWR,2013,1,5,7,32,19.04,58.37,250,9.20624,NA,0,1023,10,2013-01-05T12:00:00Z
EWR,2013,1,5,8,35.06,19.94,53.66,240,9.20624,20.714039999999997,0,1024.5,10,2013-01-05T13:00:00Z
EWR,2013,1,5,9,37.94,21.02,50.14,270,10.357019999999999,NA,0,1024.8,10,2013-01-05T14:00:00Z
EWR,2013,1,6,0,33.98,23,63.77,210,5.7539,NA,0,1023.3,10,2013-01-06T05:00:00Z
EWR,2013,1,6,1,33.98,23,63.77,230,9.20624,NA,0,1023.4,10,2013-01-06T06:00:00Z
EWR,2013,1,6,2,33.98,23,63.77,200,4.60312,NA,0,1022.5,10,2013-01-06T07:00:00Z
EWR,2013,1,6,3,33.98,24.08,66.72,200,5.7539,NA,0,1021.7,10,2013-01-06T08:00:00Z
EWR,2013,1,6,4,33.08,28.04,81.5,200,8.05546,NA,0,1020.5,10,2013-01-06T09:00:00Z
EWR,2013,1,6,5,33.8,30.2,88.37,210,5.7539,NA,0,NA,6,2013-01-06T10:00:00Z
EWR,2013,1,6,6,33.98,30.92,88.42,210,5.7539,NA,0,1020.3,6,2013-01-06T11:00:00Z
EWR,2013,1,6,7,35.06,32,93.03,230,9.20624,NA,0,NA,6,2013-01-06T12:00:00Z
EWR,2013,1,6,8,35.96,32,86.59,240,8.05546,NA,0,NA,6,2013-01-06T13:00:00Z
EWR,2013,1,6,9,37.4,32,86.59,230,11.5078,NA,0,NA,8,2013-01-06T14:00:00Z
EWR,2013,1,7,0,39.92,26.96,59.5,260,8.05546,NA,0,1018.1,10,2013-01-07T05:00:00Z
EWR,2013,1,7,1,37.94,26.96,64.29,270,8.05546,NA,0,1018.7,10,2013-01-07T06:00:00Z
EWR,2013,1,7,2,35.96,26.96,69.51,280,6.904679999999999,NA,0,1019.3,10,2013-01-07T07:00:00Z
EWR,2013,1,7,3,37.04,28.04,69.63,260,6.904679999999999,NA,0,1019.8,10,2013-01-07T08:00:00Z
EWR,2013,1,7,4,35.96,28.04,72.66,280,9.20624,NA,0,1020.6,10,2013-01-07T09:00:00Z
EWR,2013,1,7,5,35.06,26.96,72.03,290,4.60312,NA,0,1021.7,10,2013-01-07T10:00:00Z
EWR,2013,1,7,6,35.96,28.04,72.66,270,6.904679999999999,NA,0,1023.1,10,2013-01-07T11:00:00Z
EWR,2013,1,7,7,37.94,28.94,69.73,250,8.05546,NA,0,1024.1,10,2013-01-07T12:00:00Z
EWR,2013,1,7,8,39.92,28.94,64.54,280,5.7539,NA,0,1025.1,10,2013-01-07T13:00:00Z
EWR,2013,1,7,9,44.06,26.96,50.73,300,13.809359999999998,23.0156,0,1025.9,10,2013-01-07T14:00:00Z
EWR,2013,1,8,0,32,23,69.04,210,3.4523399999999995,NA,0,1029.2,10,2013-01-08T05:00:00Z
EWR,2013,1,8,1,32,24.08,72.24,210,6.904679999999999,NA,0,1029,10,2013-01-08T06:00:00Z
EWR,2013,1,8,2,32,24.98,75,190,3.4523399999999995,NA,0,1028.7,10,2013-01-08T07:00:00Z
EWR,2013,1,8,3,30.92,26.06,81.95,190,4.60312,NA,0,1028.2,10,2013-01-08T08:00:00Z
EWR,2013,1,8,4,30.02,24.98,81.27,240,4.60312,NA,0,1028.6,10,2013-01-08T09:00:00Z
EWR,2013,1,8,5,28.94,24.08,81.8,210,4.60312,NA,0,1028.9,10,2013-01-08T10:00:00Z
EWR,2013,1,8,6,30.92,24.98,78.35,0,0,NA,0,1029.2,9,2013-01-08T11:00:00Z
EWR,2013,1,8,7,30.02,24.98,81.27,210,5.7539,NA,0,1030,8,2013-01-08T12:00:00Z
EWR,2013,1,8,8,35.06,26.96,72.03,240,6.904679999999999,NA,0,1030.5,9,2013-01-08T13:00:00Z
EWR,2013,1,8,9,39.02,28.94,66.85,230,9.20624,NA,0,1030.3,9,2013-01-08T14:00:00Z
EWR,2013,1,9,0,35.96,28.94,75.39,0,0,NA,0,1029.1,10,2013-01-09T05:00:00Z
EWR,2013,1,9,1,33.98,28.94,81.57,0,0,NA,0,1028.7,10,2013-01-09T06:00:00Z
EWR,2013,1,9,2,35.06,28.94,78.13,0,0,NA,0,1028.5,10,2013-01-09T07:00:00Z
EWR,2013,1,9,3,35.96,30.02,78.79,0,0,NA,0,1028.4,10,2013-01-09T08:00:00Z
EWR,2013,1,9,4,35.96,28.94,75.39,0,0,NA,0,1028.2,10,2013-01-09T09:00:00Z
EWR,2013,1,9,5,35.06,28.94,78.13,0,0,NA,0,1028,9,2013-01-09T10:00:00Z
EWR,2013,1,9,6,35.06,28.94,78.13,0,0,NA,0,1028.4,9,2013-01-09T11:00:00Z
EWR,2013,1,9,7,33.98,30.02,85.24,260,4.60312,NA,0,1029,6,2013-01-09T12:00:00Z
EWR,2013,1,9,8,37.04,30.92,78.31,0,0,NA,0,1028.7,7,2013-01-09T13:00:00Z
EWR,2013,1,9,9,42.08,32,67.22,0,0,NA,0,1028.3,7,2013-01-09T14:00:00Z
EWR,2013,1,10,0,41,32,70.08,230,8.05546,NA,0,1024.6,10,2013-01-10T05:00:00Z
EWR,2013,1,11,0,37.94,24.98,59.22,20,4.60312,NA,0,1033.6,10,2013-01-11T05:00:00Z
EWR,2013,1,12,0,44.06,42.98,100,360,5.7539,NA,0.01,NA,1.5,2013-01-12T05:00:00Z
EWR,2013,1,13,0,46.4,44.96,100,160,4.60312,NA,0,NA,0.25,2013-01-13T05:00:00Z
EWR,2013,1,14,0,48.92,48.2,100,0,0,NA,0,NA,0.5,2013-01-14T05:00:00Z
EWR,2013,1,15,0,39.92,35.96,85.61,50,4.60312,NA,0.02,1024.8,10,2013-01-15T05:00:00Z
EWR,2013,1,16,0,33.98,30.92,88.42,20,10.357019999999999,NA,0.05,1023.1,6,2013-01-16T05:00:00Z
EWR,2013,1,17,0,37.94,33.08,82.46,250,9.20624,NA,0,1013.6,10,2013-01-17T05:00:00Z
EWR,2013,1,18,0,35.06,23,61.08,40,10.357019999999999,NA,0,1016.9,10,2013-01-18T05:00:00Z
EWR,2013,1,19,0,28.04,12.92,52.57,190,10.357019999999999,NA,0,1029.4,10,2013-01-19T05:00:00Z
EWR,2013,1,20,0,41,28.04,59.65,200,11.5078,NA,0,1012.1,10,2013-01-20T05:00:00Z
EWR,2013,1,21,0,28.94,8.06,40.79,310,11.5078,NA,0,1017.8,10,2013-01-21T05:00:00Z
EWR,2013,1,22,0,26.06,6.08,41.98,290,10.357019999999999,19.56326,0,1010.7,10,2013-01-22T05:00:00Z
EWR,2013,1,23,0,12.92,-7.06,39.67,280,12.658579999999999,21.864819999999998,0,1022.9,10,2013-01-23T05:00:00Z
EWR,2013,1,24,0,14,-0.04,52.9,270,4.60312,NA,0,1021.6,10,2013-01-24T05:00:00Z
EWR,2013,1,25,0,15.08,-2.92,44.04,290,16.11092,23.0156,0,1029.7,10,2013-01-25T05:00:00Z
EWR,2013,1,26,0,15.98,12.92,87.47,280,6.904679999999999,NA,0,1018.4,10,2013-01-26T05:00:00Z
EWR,2013,1,27,0,19.04,8.06,61.72,290,8.05546,NA,0,1029.1,10,2013-01-27T05:00:00Z
EWR,2013,1,28,0,26.96,12.02,52.81,0,0,NA,0,1032.7,10,2013-01-28T05:00:00Z
EWR,2013,1,29,0,35.06,33.98,95.79,210,5.7539,NA,0,1016.2,5,2013-01-29T05:00:00Z
EWR,2013,1,30,0,42.8,41,95.9,30,6.904679999999999,NA,0,NA,2.5,2013-01-30T05:00:00Z
EWR,2013,1,31,0,62.6,59,89.7,190,25.317159999999998,36.82496,0.09,NA,6,2013-01-31T05:00:00Z
EWR,2013,2,1,0,28.94,10.94,46.41,250,19.56326,23.0156,0,1009.6,10,2013-02-01T05:00:00Z
EWR,2013,2,1,1,28.94,10.94,46.41,240,11.5078,NA,0,1009.9,10,2013-02-01T06:00:00Z
EWR,2013,2,1,2,28.04,10.94,48.15,240,9.20624,NA,0,1009.7,10,2013-02-01T07:00:00Z
EWR,2013,2,1,3,28.04,10.94,48.15,220,13.809359999999998,NA,0,1009.6,10,2013-02-01T08:00:00Z
EWR,2013,2,1,4,28.04,10.94,48.15,230,17.261699999999998,NA,0,1009.8,10,2013-02-01T09:00:00Z
EWR,2013,2,1,5,28.04,12.02,50.52,220,13.809359999999998,20.714039999999997,0,1010.4,10,2013-02-01T10:00:00Z
EWR,2013,2,1,6,28.94,12.02,48.69,260,9.20624,NA,0,1010.9,10,2013-02-01T11:00:00Z
EWR,2013,2,1,7,28.94,12.02,48.69,280,10.357019999999999,NA,0,1010.9,10,2013-02-01T12:00:00Z
EWR,2013,2,1,8,30.02,10.94,44.41,270,10.357019999999999,NA,0,1011.3,10,2013-02-01T13:00:00Z
EWR,2013,2,1,9,30.02,10.04,42.66,290,17.261699999999998,23.0156,0,1012.1,10,2013-02-01T14:00:00Z
EWR,2013,2,2,0,23,6.98,49.69,250,11.5078,NA,0,1024.4,10,2013-02-02T05:00:00Z
EWR,2013,2,2,1,21.92,6.08,49.92,260,13.809359999999998,NA,0,1024.8,10,2013-02-02T06:00:00Z
EWR,2013,2,2,2,21.92,6.08,49.92,260,12.658579999999999,NA,0,1025.3,10,2013-02-02T07:00:00Z
EWR,2013,2,2,3,21.02,6.08,51.86,260,14.960139999999999,NA,0,1025.5,10,2013-02-02T08:00:00Z
EWR,2013,2,2,4,19.94,5,51.68,260,14.960139999999999,NA,0,1025.5,10,2013-02-02T09:00:00Z
EWR,2013,2,2,5,19.04,5,53.71,260,11.5078,NA,0,1025.3,10,2013-02-02T10:00:00Z
EWR,2013,2,2,6,19.04,5,53.71,240,8.05546,NA,0,1026,10,2013-02-02T11:00:00Z
EWR,2013,2,2,7,19.94,6.98,56.56,260,10.357019999999999,NA,0,1026.5,10,2013-02-02T12:00:00Z
EWR,2013,2,2,8,21.02,6.08,51.86,250,10.357019999999999,NA,0,1026.2,10,2013-02-02T13:00:00Z
EWR,2013,2,2,9,24.08,6.08,45.59,260,6.904679999999999,NA,0,1025.7,10,2013-02-02T14:00:00Z
EWR,2013,2,3,0,24.98,21.92,87.96,0,0,NA,0,NA,5,2013-02-03T05:00:00Z
EWR,2013,2,3,1,24.98,21.92,87.96,0,0,NA,0.01,1016.5,4,2013-02-03T06:00:00Z
EWR,2013,2,3,2,24.98,23,92.05,20,3.4523399999999995,NA,0,1015.7,4,2013-02-03T07:00:00Z
EWR,2013,2,3,3,24.08,21.92,91.32,20,4.60312,NA,0,1014.8,6,2013-02-03T08:00:00Z
EWR,2013,2,3,4,24.08,21.02,87.91,10,8.05546,NA,0,1014.1,6,2013-02-03T09:00:00Z
EWR,2013,2,3,5,24.98,21.02,84.67,20,6.904679999999999,NA,0,1014.1,9,2013-02-03T10:00:00Z
EWR,2013,2,3,6,24.8,19.4,80.8,360,5.7539,NA,0,NA,10,2013-02-03T11:00:00Z
EWR,2013,2,3,7,24.08,19.94,85.85,30,6.904679999999999,NA,0,NA,10,2013-02-03T12:00:00Z
EWR,2013,2,3,8,24.8,19.94,83.96,10,8.05546,NA,0,NA,10,2013-02-03T13:00:00Z
EWR,2013,2,3,9,26.96,21.2,79.77,350,9.20624,NA,0,NA,10,2013-02-03T14:00:00Z
EWR,2013,2,4,0,26.96,19.04,71.69,260,10.357019999999999,NA,0,1009.8,10,2013-02-04T05:00:00Z
EWR,2013,2,4,1,26.06,17.06,68.33,280,14.960139999999999,NA,0,1010.2,10,2013-02-04T06:00:00Z
EWR,2013,2,4,2,26.06,12.02,54.82,290,18.41248,26.46794,0,1010.8,10,2013-02-04T07:00:00Z
EWR,2013,2,4,3,24.98,10.04,52.5,280,16.11092,20.714039999999997,0,1011.3,10,2013-02-04T08:00:00Z
EWR,2013,2,4,4,24.08,10.04,54.51,270,16.11092,NA,0,1012.4,10,2013-02-04T09:00:00Z
